Time	Draw				Score			Duration	Court	
	5:45 PM	XD U13	Adrian Mar Ellen Zulkarnain	-	Kevin Lan Ashley Yang	21-9 21-10			0:36	Main Location - 12
	5:45 PM	XD U13	Andre Chim Kalea Sheung	-	Ryan Wu Amber Zhang	21-5 21-7			0:35	Main Location - 8
	5:45 PM	XD U13	Ryan Ma Kaitlyn Wang	-	Cheuklun Ku Megan Lee	21-4 21-12			0:34	Main Location - 1
	5:45 PM	XD U13	Joshua Yang Claire Wang	-	Minh Cheng [3/4] Catherine Zheng	21-13 21-17			0:39	Main Location - 4
	5:45 PM	XD U13	Aaron Low Bhaavya Manikonda	-	Jeremy Chen Ishika Jaiswal	19-21 21-15 21-19			0:52	Main Location - 7
	5:45 PM	XD U13	Ethan Chang Andrea Lou	-	Partha Teja Malladi Harika Regulapati	21-9 21-10			0:33	Main Location - 9
	5:45 PM	XD U15	Alistair Lee [3/4] Emma Lin	-	Samuel Wang Emily Hu	21-15 21-11			0:26	Main Location - 3
	5:45 PM	XD U15	Nathan He [5/8] Julie Yang	-	Justin Lam Raeka Lin	19-21 21-6 21-13			1:48	Main Location - 11
	5:45 PM	XD U15	Eric Duong [2] Cassandra Yu	-	Thomas Liew Megan Lan	21-12 21-19			0:39	Main Location - 1
	5:45 PM	BS U17	Wai Hei Ngan	-	Martin Mitchel	21-16 21-16			0:32	Main Location - 2
	5:45 PM	BS U17	Calvin Xia	-	Albert Lam	21-8 21-14			0:25	Main Location - 10
	6:10 PM	XD U15	Timothy Oeij [5/8] Belinda Tam	-	Nathan Zeng Sruthi Joshy	21-18 21-8			0:40	Main Location - 12
	6:10 PM	XD U15	Derek Tan [3/4] Maggie Li	-	Owen Che Crystal Yang	21-9 21-12			0:26	Main Location - 8
	6:10 PM	XD U15	Trevor Tan Katelin Ngo	-	Aaron Wu Abigail Li	21-11 21-8			0:06	Main Location - 9
	6:10 PM	XD U15	Alohi Sheung [5/8] Lauren Lam	-	Alvin Chen Amenda Lee	21-18 21-12			0:42	Main Location - 4
	6:10 PM	XD U15	Winston Tsai Roshni Venkat	-	Joshua Yuan Claire Chen	18-21 21-19 21-9			1:15	Main Location - 6
	6:10 PM	XD U15	Tony Liuzhou Tammy Xie	-	Ryan Qian Jennifer Zhang	21-8 21-8			1:04	Main Location - 10
	6:10 PM	BS U17	Eric Chang	-	Ritvik Regulapati	21-11 21-19			1:07	Main Location - 2
	6:10 PM	BS U17	Anoop Reddy	-	Andrew Lee	21-12 21-18			0:19	Main Location - 5
	6:10 PM	BS U11	Ved Vedere [3/4]	-	Thenuk Chandrasekera	21-12 21-17			0:33	Main Location - 12
	6:10 PM	BS U11	Samuel Li	-	Jeffrey Chang	21-16 21-16			0:31	Main Location - 11
	6:10 PM	BD U19 - Group A	Vinson Chiu [1] Anthony Chu	-	Stephen Ding Gokul Kalyanasundaram	21-14 21-13			1:14	Main Location - 3
	6:35 PM	BS U11	Lukas Chang	-	Jedd Perea [2]	21-14 16-21 21-16			0:46	Main Location - 9
	6:35 PM	BS U11	Arav Sachdeva	-	Jayane Chandrasekera	21-18			0:30	Main Location - 3
	6:35 PM	BS U11	Jaden Jin	-	Linden Wang	21-19			0:56	Main Location - 4
	6:35 PM	BS U11	William Wang	-	Ethan Do	21-6			0:17	Main Location - 7
	6:35 PM	BS U11	Ben Tirtohadi	-	Aaric Hoar	Walkover				
	6:35 PM	BS U11	Kai Chong [5/8]	-	Jacky Zhang	21-4			0:37	Main Location - 10
	6:35 PM	BS U11	Patrick Chi	-	Kyle Peng	Walkover				
	6:35 PM	BS U11	Caden Liu	-	Wain Guo [5/8]	21-16				
	6:35 PM	BS U11	Adam Tay	-	Arjun Chatterjee	21-19			0:20	Main Location - 2
	6:35 PM	GS U11	Veronica Yang [5/8]	-	Savanna Lee	21-14 21-16			0:33	Main Location - 8
	6:35 PM	GD U19 - Group B	Karen Ma Cindy Yuan	-	Krista Hsu Madeline Sporkert	21-19 21-11			0:31	Main Location - 1
	6:35 PM	BS U13	Aaron Bai	-	Ryan Hsiao	21-11			0:28	Main Location - 5
	7:00 PM	GS U19	Jamie Hsu	-	Breanna Chi	20-22 21-6 21-13			0:51	Main Location - 4
	7:00 PM	GS U11	Brianna Xu [3/4]	-	Rachel Lee	21-15 21-15			0:31	Main Location - 10
	7:00 PM	GS U11	Shelley Li	-	Jasmine Yeung	21-14 21-4			0:29	Main Location - 7
	7:00 PM	GS U11	Olivia Chen [5/8]	-	Reanne Chan	21-9 21-5			0:30	Main Location - 3
	7:00 PM	GS U11	Chloe Ho	-	Jaylyn Lee [3/4]	15-21 21-12 21-16			0:48	Main Location - 8
	7:00 PM	GS U11	Sahasra Chada	-	Mikayla Cruz [5/8]	14-21 21-18 21-13			0:47	Main Location - 2
	7:00 PM	GS U11	Hailey Hung [2]	-	Jacquelyn Chen	21-14 21-15			0:29	Main Location - 6
	7:00 PM	GS U11	Ella Lin	-	Mia Hundley	21-12			0:28	Main Location - 12
	7:00 PM	GS U11	Mia Zhang	-	Kayla Wu [5/8]	21-14			0:27	Main Location - 5
	7:00 PM	GS U11	Micah Cheng	-	Jasmine La	21-12			0:16	Main Location - 11
	7:00 PM	GD U17	Jasmine Lee [2] Christine Yu	-	Joanne Chan Catherine Oei	19-21 21-12 21-18			0:57	Main Location - 1
	7:00 PM	GD U13	Natalie Chi [2] Kalea Sheung	-	Stella Tran Amber Zhang	Walkover				
	7:00 PM	BD U15	Naveen Arunachalam Sakthiyendran William Hu	-	Justin Lam Harshith Rajasekaran	21-15 21-18			0:28	Main Location - 11
	7:25 PM	GD U13	Kodi Lee Emma Lin	-	Claire Wang Ashley Yang	21-17 21-11			0:38	Main Location - 5
	7:25 PM	BS U17	Nihal Bondugula	-	Martin Mitchel	22-20			0:19	Main Location - 10
	7:25 PM	GS U11	Kaitlyn Wang [1]	-	Charlotte Tse	21-5 21-9			0:22	Main Location - 12
	7:25 PM	GS U11	Lilian Shu	-	Alice Wang	21-13			0:23	Main Location - 7
	7:25 PM	GS U11	Elise Fong	-	Meha Vedere	21-11			0:24	Main Location - 10
	7:25 PM	GS U11	Joline Siu	-	Salina Tang	21-13			0:16	Main Location - 9
	7:25 PM	GS U11	Melissa Jin	-	Laasya Priya Mullapudi	21-18			0:17	Main Location - 12
	7:25 PM	BS U13	Edward Zhang [1]	-	Adrian Mar	21-19 21-15			0:35	Main Location - 6
	7:25 PM	BS U13	Daniel Bielin [5/8]	-	Alec Lee	21-8 21-8			0:27	Main Location - 1
	7:25 PM	BS U13	Aaron Low [3/4]	-	Ryan Ma	16-21 21-19 21-11			0:48	Main Location - 3
	7:25 PM	BS U13	Mihir Raja [5/8]	-	Ethan Chang	21-18 21-18			0:50	Main Location - 4
	7:25 PM	BS U13	Edison Ma	-	Minh Cheng [3/4]	21-15 21-11			0:28	Main Location - 11
	7:25 PM	BS U13	Andrew Wang [5/8]	-	Wyatt Fong	23-21 21-19			0:21	Main Location - 9
	7:50 PM	BS U13	Kelvin Chong	-	Connor Lam [5/8]	21-14 21-15			0:43	Main Location - 1
	7:50 PM	BS U13	Siddhartha Javvaji [2]	-	Brandon Wu	21-12 21-6			0:36	Main Location - 6
	7:50 PM	BS U13	Ashton Lee	-	Sushruth Booma	21-3			0:29	Main Location - 12
	7:50 PM	BS U13	Austin Bu	-	Cheuklun Ku	22-20			0:25	Main Location - 7
	7:50 PM	BS U13	Christopher Liu	-	Jonathan Siu	21-4			0:12	Main Location - 7
	7:50 PM	BS U13	Kenny Chen	-	Ryan Wu	21-5			0:18	Main Location - 11
	7:50 PM	BS U13	Andre Chim	-	Chuhua Yang	21-11			0:21	Main Location - 4
	7:50 PM	BS U13	Jeremy Chen	-	Daniel Yuan	21-18			0:36	Main Location - 2
	7:50 PM	BS U13	Ryan Phan	-	Kevin Lan	21-8			0:16	Main Location - 10
	7:50 PM	GS U13	Catherine Zheng [3/4]	-	Amanda Ng	21-14 21-19			0:39	Main Location - 8
	7:50 PM	GS U13	Claire Chen [5/8]	-	Jessica Fan	21-13 21-10			0:39	Main Location - 9
	7:50 PM	BD U17	Adrian Lee Ken Zhu	-	Max Li Anoop Reddy	21-12 21-13			0:28	Main Location - 5
	8:15 PM	BD U11	Aaron Bai [1] Ved Vedere	-	Jayane Chandrasekera Thenuk Chandrasekera	21-9 21-10			0:29	Main Location - 8
	8:15 PM	BD U11	Lance Fuchia Samuel Li	-	Arthur Lee Linden Wang	21-8 21-12			0:27	Main Location - 12
	8:15 PM	BD U11	Caden Liu [3/4] Alex Sin	-	Wain Guo Ben Tirtohadi	21-9 21-12			0:22	Main Location - 7
	8:15 PM	BD U11	William Wang Daniel Zhou	-	Patrick Chi Jatin Yang	21-15 21-13			0:33	Main Location - 5
	8:15 PM	BD U11	Arjun Chatterjee Weslie Chen	-	Kyle Fang Jaden Jin	25-23 21-12			0:39	Main Location - 10
	8:15 PM	GS U13	Yvonne Qiu [5/8]	-	Helen Wang	21-8 21-7			0:30	Main Location - 11
	8:15 PM	GS U13	Jolie Wang [2]	-	Ragalina Palaka	21-5 21-13			0:31	Main Location - 3
	8:15 PM	GS U13	Shriya Chockalingam	-	Amber Zhang	21-14			0:41	Main Location - 12
	8:15 PM	GS U13	Ellen Zulkarnain	-	Sumaswara Chinthalapati	21-18			0:35	Main Location - 6
	8:15 PM	GS U13	Andrea Lou	-	Ivy Wang	21-9			0:16	Main Location - 3
	8:15 PM	GS U13	Melody Yang	-	Harika Regulapati	Walkover				
	8:15 PM	BS U15	Trevor Tan	-	Ethan Lee	21-12 21-16			0:37	Main Location - 4
	8:15 PM	GD U17	Breanna Chi Charisse Chow	-	Lumbini Chandrasekera Crystal Wai	21-4 21-0			0:33	Main Location - 2
	8:40 PM	BS U15	Tony Liuzhou	-	Nathan He [1]	21-13 21-19			0:37	Main Location - 5
	8:40 PM	BS U15	Derek Tan [3/4]	-	Alistair Lee	21-16 21-15			0:38	Main Location - 2
	8:40 PM	BS U15	Ben Bielin	-	Brandon Zhou [5/8]	21-15 12-21 21-15			1:03	Main Location - 7
	8:40 PM	BS U15	Joshua Yuan	-	Justin Lam	21-10 21-15			0:34	Main Location - 11
	8:40 PM	BS U15	Eric Duong [3/4]	-	Daniel Fung	19-21 21-3 21-15			0:54	Main Location - 10
	8:40 PM	BS U15	Winston Tsai	-	Jacob Zhang	21-12 21-17			0:50	Main Location - 8
	8:40 PM	BS U15	Joseph Zhang	-	Andrew Zhang [2]	21-18 21-14				
	8:40 PM	BS U15	Harshith Rajasekaran	-	Narahari Rao	Walkover				
	8:40 PM	BS U15	Naveen Arunachalam Sakthiyendran	-	Aaron Wu	21-7			0:17	Main Location - 9
	8:40 PM	BS U15	Timothy Oeij	-	Daniel Huang	21-13				
	8:40 PM	BS U15	William Dai	-	Wei Sheng Aw	21-4			0:21	Main Location - 12
	8:40 PM	BD U19 - Group B	Ricky Liuzhou [2] Cadmus Yeo	-	Mason Jiang Darren Lo	21-14 21-9				Main Location - 1
	8:40 PM	BD U17	Justin Lam [3/4] Ryan Nibu	-	Anthony Chiang Martin Mitchel	21-4 21-15				Main Location - 9
	8:40 PM	XD U17	Choonggao Lee Carmen Chung	-	Jack Yu Catherine Oei	21-19 21-12			0:38	Main Location - 1
	8:40 PM	GS U11	Savanna Lee	-	Akshaya Ajan	21-10			0:27	Main Location - 9
